list(
nObs=585,
nInsect=203,
Y=structure(.Data=c(
1,3,1,0,5.1116,1,
1,1,1,0,NA,0,
2,3,1,0,5.3434,1,
2,1,1,0,NA,0,
3,3,1,0,2.4196,1,
3,1,1,0,0.71498,1,
4,3,1,0,5.6296,1,
4,1,1,0,1.5275,1,
5,3,1,0,5.3401,1,
5,1,1,0,0.4218,1,
6,3,1,0,5.5981,1,
6,1,1,0,0.6467,1,
7,3,1,0,5.4565,1,
7,1,1,0,NA,0,
8,3,1,0,4.1139,1,
8,1,1,0,0.70007,1,
9,3,1,0,5.1572,1,
9,1,1,0,0.68643,1,
10,3,1,0,3.1013,1,
10,1,1,0,NA,0,
11,3,1,0,5.8704,1,
11,1,1,0,NA,0,
12,3,1,0,5.8047,1,
12,1,1,0,NA,0,
13,3,1,0,5.5714,1,
13,1,1,0,0.71214,1,
14,3,1,0,5.1082,1,
14,1,1,0,NA,0,
15,3,1,0,4.6398,1,
15,1,1,0,0.75851,1,
16,3,1,0,3.1407,1,
16,1,1,0,NA,0,
17,3,1,0,5.4371,1,
17,1,1,0,NA,0,
18,3,1,0,2.6368,1,
18,2,1,0,0.62469,1,
18,1,1,0,NA,0,
19,3,1,0,3.9611,1,
19,2,1,0,2.1309,1,
19,1,1,0,NA,0,
20,3,1,0,2.8329,1,
20,2,1,0,1.59,1,
20,1,1,0,1.2134,1,
21,3,1,0,3.8315,1,
21,2,1,0,2.1187,1,
21,1,1,0,0.73634,1,
22,3,1,0,3.345,1,
22,2,1,0,NA,0,
22,1,1,0,NA,0,
23,3,1,0,3.6545,1,
23,2,1,0,NA,0,
23,1,1,0,NA,0,
24,3,1,0,5.5096,1,
24,2,1,0,3.1444,1,
24,1,1,0,NA,0,
25,3,1,0,3.1833,1,
25,2,1,0,1.0256,1,
25,1,1,0,1.1314,1,
26,3,1,0,4.1719,1,
26,2,1,0,1.4003,1,
26,1,1,0,1.247,1,
27,3,1,0,2.8994,1,
27,2,1,0,1.3015,1,
27,1,1,0,0.69267,1,
28,3,1,0,3.3366,1,
28,2,1,0,NA,0,
28,1,1,0,NA,0,
29,3,1,0,5.7872,1,
29,2,1,0,2.103,1,
29,1,1,0,1.6743,1,
30,3,1,0,NA,0,
30,2,1,0,NA,0,
30,1,1,0,NA,0,
31,3,1,0,3.7528,1,
31,2,1,0,0.98036,1,
31,1,1,0,NA,0,
32,3,1,0,3.7028,1,
32,2,1,0,2.2916,1,
32,1,1,0,2.0445,1,
